14:05:04   | Slot 37 -> OK        | 4.75 KB         | 9.06 KB         | 2       
14:05:05   | Slot 74 -> OK        | 9.38 KB         | 10.54 KB        | 4       
14:05:06   | Slot 111 -> OK       | 14.00 KB        | 10.78 KB        | 6       
14:05:07   | Slot 148 -> OK       | 18.62 KB        | 10.83 KB        | 8       
14:05:08   | Slot 185 -> OK       | 23.25 KB        | 10.88 KB        | 10      
14:05:09   | Slot 222 -> OK       | 27.88 KB        | 10.93 KB        | 12      
14:05:10   | Slot 259 -> OK       | 32.50 KB        | 10.97 KB        | 14      
14:05:11   | Slot 296 -> OK       | 37.12 KB        | 11.04 KB        | 16      
14:05:12   | Slot 333 -> OK       | 41.75 KB        | 11.09 KB        | 18      
14:05:13   | Slot 370 -> OK       | 46.38 KB        | 11.14 KB        | 20      
14:05:14   | Slot 407 -> OK       | 51.00 KB        | 11.20 KB        | 22      
14:05:15   | Slot 444 -> OK       | 55.62 KB        | 11.25 KB        | 24      
14:05:16   | Slot 481 -> OK       | 60.25 KB        | 11.29 KB        | 26      
14:05:17   | Slot 518 -> OK       | 64.88 KB        | 11.34 KB        | 28      
14:05:18   | Slot 555 -> OK       | 69.50 KB        | 11.39 KB        | 30      
14:05:19   | Slot 592 -> OK       | 74.12 KB        | 11.43 KB        | 32      
14:05:20   | Slot 629 -> OK       | 78.75 KB        | 11.49 KB        | 34      
14:05:21   | Slot 666 -> OK       | 83.38 KB        | 11.55 KB        | 36      
14:05:22   | Slot 703 -> OK       | 88.00 KB        | 11.60 KB        | 38      
14:05:23   | Slot 740 -> OK       | 92.62 KB        | 11.66 KB        | 40      
14:05:24   | Slot 777 -> OK       | 97.25 KB        | 11.72 KB        | 42      
14:05:25   | Slot 814 -> OK       | 101.88 KB       | 11.78 KB        | 44      
14:05:26   | Slot 851 -> OK       | 106.50 KB       | 11.83 KB        | 46      
14:05:27   | Slot 888 -> OK       | 111.12 KB       | 11.89 KB        | 48      
14:05:28   | Slot 925 -> OK       | 115.75 KB       | 11.94 KB        | 50      
14:05:29   | Slot 962 -> OK       | 120.38 KB       | 12.00 KB        | 52      
14:05:30   | Slot 999 -> OK       | 125.00 KB       | 12.07 KB        | 54      
14:05:31   | Slot 36 -> OK        | 125.00 KB       | 12.10 KB        | 56      
14:05:32   | Slot 73 -> OK        | 125.00 KB       | 12.17 KB        | 58      
14:05:33   | Slot 110 -> OK       | 125.00 KB       | 12.23 KB        | 60      
14:05:34   | Slot 147 -> OK       | 125.00 KB       | 12.30 KB        | 62      
14:05:35   | Slot 184 -> OK       | 125.00 KB       | 12.36 KB        | 64      
14:05:36   | Slot 221 -> OK       | 125.00 KB       | 12.43 KB        | 66      
14:05:38   | Slot 258 -> OK       | 125.00 KB       | 12.52 KB        | 68      
14:05:39   | Slot 295 -> OK       | 125.00 KB       | 12.59 KB        | 70      
14:05:40   | Slot 332 -> OK       | 125.00 KB       | 12.66 KB        | 72      
14:05:41   | Slot 369 -> OK       | 125.00 KB       | 12.72 KB        | 74      
14:05:42   | Slot 406 -> OK       | 125.00 KB       | 12.79 KB        | 76      
14:05:43   | Slot 443 -> OK       | 125.00 KB       | 12.85 KB        | 78      
14:05:44   | Slot 480 -> OK       | 125.00 KB       | 12.92 KB        | 80      
14:05:45   | Slot 517 -> OK       | 125.00 KB       | 12.98 KB        | 82      
14:05:46   | Slot 554 -> OK       | 125.00 KB       | 13.05 KB        | 84      
14:05:47   | Slot 591 -> OK       | 125.00 KB       | 13.11 KB        | 86      
14:05:48   | Slot 628 -> OK       | 125.00 KB       | 13.18 KB        | 88      
14:05:49   | Slot 665 -> OK       | 125.00 KB       | 13.24 KB        | 90      
14:05:50   | Slot 702 -> OK       | 125.00 KB       | 13.31 KB        | 92      
14:05:51   | Slot 739 -> OK       | 125.00 KB       | 13.38 KB        | 94      
14:05:52   | Slot 776 -> OK       | 125.00 KB       | 13.44 KB        | 96      
14:05:53   | Slot 813 -> OK       | 125.00 KB       | 13.51 KB        | 98      
14:05:54   | Slot 850 -> OK       | 125.00 KB       | 13.57 KB        | 100     
14:05:55   | Slot 887 -> OK       | 125.00 KB       | 13.64 KB        | 102     
14:05:56   | Slot 924 -> OK       | 125.00 KB       | 13.70 KB        | 104     
14:05:57   | Slot 961 -> OK       | 125.00 KB       | 13.77 KB        | 106     
14:05:58   | Slot 998 -> OK       | 125.00 KB       | 13.83 KB        | 108     
14:05:59   | Slot 35 -> OK        | 125.00 KB       | 13.87 KB        | 110     
